,id,description,price,address,date added,agent
5,67705525,Land for sale,5000,"Land Adjacent To Mereside School, Masefield Drive, Heaton Mersey, Stockport, Cheshire, SK4",,"Marketed by PUGH & COMPANY LIMITED, Newton-Le-Willows"
6,76481630,2 bedroom apartment for sale,5000,"Broughton Road, Salford, Greater Manchester, M6",," by Property Exchange, Newton Aycliffe"
3,76574888,Studio flat for sale,7500,"30 Montgomery House, Manchester, M16",22/10/2018," by Auction House, North West"
4,76573913,Studio flat for sale,7500,"32 Montgomery House, Manchester, M16",19/10/2018," by Auction House, North West"
2,45696435,Parking for sale,8500,"Red Bank, Manchester, Greater Manchester, M4",22/10/2018," by Cherry Picked Properties, Heald Green"
0,76606250,1 bedroom flat for sale,9000,"331 Montgomery House, Manchester, M16",02/10/2018," by Auction House, North West"
1,76600214,Studio flat for sale,9000,"29A Montgomery House, Manchester, M16",29/11/2016," by Auction House, North West"
25,63818236,1 bedroom house share for sale,14000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",," by Simply Residential & Simply Commercial, Bolton"
24,54340587,1 bedroom house share for sale,14000,"Montgomery House, Demesne Rd, Manchester. M16 8PH",," by Simply Residential & Simply Commercial, Bolton"
23,52817940,1 bedroom house share for sale,14000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",," by Simply Residential & Simply Commercial, Bolton"
22,75721349,Land for sale,15000,"Tennyson Close, Heaton Mersey",29/11/2016,"Marketed by Joules Estate Agency, Heaton Mersey"
21,75721304,Land for sale,15000,"Tennyson Close, Heaton Mersey",06/03/2018,"Marketed by Joules Estate Agency, Heaton Mersey"
20,57484512,Studio flat for sale,15000,"Montgomery House, Demesne Road, Manchester, M16 8PH",11/05/2018," by yieldit, Manchester"
19,75721301,Land for sale,15000,"Briar Hollow, Heaton Mersey",11/10/2018,"Marketed by Joules Estate Agency, Heaton Mersey"
18,67705420,Land for sale,15000,"Land At Briar Hollow, Heaton Mersey, Stockport, Cheshire, SK4",24/10/2018,"Marketed by PUGH & COMPANY LIMITED, Newton-Le-Willows"
17,57484509,Studio flat for sale,15000,"Montgomery House, Demesne Road, Manchester, M16 8PH",24/10/2018," by yieldit, Manchester"
16,53622678,1 bedroom house share for sale,16000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",24/08/2017," by Simply Residential & Simply Commercial, Bolton"
15,51690738,1 bedroom house share for sale,17000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",17/11/2017," by Simply Residential & Simply Commercial, Bolton"
14,71761169,1 bedroom house share for sale,18000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",28/02/2018," by Simply Residential & Simply Commercial, Bolton"
13,54340578,1 bedroom house share for sale,18000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",11/05/2018," by Simply Residential & Simply Commercial, Bolton"
12,73206002,1 bedroom apartment for sale,19000,"Kirkman Close, Manchester",15/05/2018," by Sanderson James, Gorton"
11,44807619,1 bedroom house share for sale,19000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",17/11/2017," by Simply Residential & Simply Commercial, Bolton"
10,51690720,1 bedroom house share for sale,19000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",17/11/2017," by Simply Residential & Simply Commercial, Bolton"
9,44807613,1 bedroom house share for sale,19000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",17/11/2017," by Simply Residential & Simply Commercial, Bolton"
8,75146813,Parking for sale,19000,"Brookfield Court, Kirkham Close, Gorton, Manchester, M18",23/08/2018," by Bridgfords, Denton"
7,51780540,1 bedroom retirement property for sale,19000,"Kirkman Close, Manchester",22/11/2017," by Edward Mellor Ltd, Gorton"
29,53187525,1 bedroom house share for sale,22000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",12/08/2018," by Simply Residential & Simply Commercial, Bolton"
28,71807480,Property for sale,25000,"Rear Of Church Road  , Manchester, M22",18/01/2018," by Bergins Estate Agents, Manchester - Sales"
27,57143301,Studio flat for sale,28000,"Montgomery House, Demesne Road, Manchester, M16 8PH",02/03/2018," by yieldit, Manchester"
26,73263599,Land for sale,29950,"Yeadon Road, Gorton",09/10/2018,"Marketed by Medlock Estates, Droylsden"
